method,display_name,samples,mean_ppl,std_ppl,median_ppl,min_ppl,max_ppl,p95_ppl,mean_ce,std_ce,mean_tokens
vanilla,Vanilla,499,6.501064259579692,3.370729751570485,5.907813246970267,1.6180796325853188,35.80738249411343,10.961675134231287,1.7916990595016786,0.3732252783485578,226.43687374749499
kgw,KGW,499,7.775495238625776,3.514862760024793,7.281501843934282,1.8515944706884546,41.46835162380623,13.238203787701723,1.9701304380783815,0.3999153238766024,231.35871743486973
dip,DIP,497,7.674857476794794,4.978120638597399,7.129744220695061,1.7626593471134995,88.580015109839,12.224167376286898,1.9452065496857258,0.39798817329661684,224.1529175050302
ewd,EWD,499,7.931895298294507,3.971381127970396,7.341259960914591,1.8033211846028756,36.703194270074874,13.015483627213467,1.976601674824296,0.42893379859065944,232.72344689378758
morphmark,MorphMark,498,6.186837224662023,3.0606625250549127,5.783641227940047,1.6552942520944633,51.647216974446096,9.890075761836965,1.7534562692824138,0.35217893357516566,231.53012048192772
sweet,SWEET,499,8.095897626370446,4.948219838734073,7.263892762337104,1.8450736670145298,57.96278123281899,14.827997660412379,1.9797340932494414,0.4520387069728126,228.47294589178355
unbiased,Unbiased,497,7.592704834157565,4.371882081046637,6.813746350916437,1.8008600315912375,67.42061633181613,12.31096495148714,1.9417126608086783,0.3815011061536222,225.95573440643864
synthid,SynthID,498,6.9256933950307715,5.370730392717952,5.900923931157839,1.6219580374075895,61.97401493607698,12.379543349540317,1.8034955911248562,0.45064601486516376,226.36746987951807
dbsf,DBSF,499,6.5505462145404305,2.797075167295662,6.239658570573664,1.7602802337145333,19.472731873056098,11.124370052848004,1.7917260690060313,0.4243728868130896,236.4448897795591
