scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,498,497,1,0.0714,1.0428,-3.5440,3.2577,0.00
vanilla_sweet,sweet,vanilla,0,498,497,1,0.1043,1.1004,-3.7796,3.1818,0.00
vanilla_ewd,ewd,vanilla,0,498,496,1,0.0864,1.0675,-3.6281,2.8484,0.00
vanilla_dip,dip,vanilla,0,498,498,0,-0.0504,0.4682,-1.4254,1.3927,0.00
vanilla_unbiased,unbiased,vanilla,0,498,498,0,-0.0461,0.4970,-1.6222,1.3976,0.00
vanilla_synthid,synthid,vanilla,0,498,495,3,0.4992,0.0123,0.4278,0.6167,2.41
vanilla_morphmark,morphmark,vanilla,0,498,497,1,0.1644,1.0995,-2.9704,5.3189,4.22
vanilla_dbsf,dbsf,vanilla,0,498,497,1,0.1501,1.0431,-2.9333,3.1510,0.00
kgw,kgw,kgw,1,499,498,1,3.2787,1.3644,-1.0000,7.7328,27.66
sweet,sweet,sweet,1,499,499,0,3.1685,1.3273,-3.6232,7.5065,26.85
ewd,ewd,ewd,1,499,496,1,3.3154,1.2388,-0.2964,6.7451,31.26
dip,dip,dip,1,497,497,0,0.3423,0.5625,-1.2618,1.9415,1.41
unbiased,unbiased,unbiased,1,497,496,0,0.3860,0.5336,-1.2589,1.9332,1.61
synthid,synthid,synthid,1,497,494,3,0.5160,0.0125,0.4583,0.5667,36.82
morphmark,morphmark,morphmark,1,499,498,1,2.8933,1.6290,-4.0415,9.6814,72.14
dbsf,dbsf,dbsf,1,499,499,0,6.5178,2.2269,-1.6655,11.4848,86.37
