method,method_key,n_vanilla,n_watermarked,vanilla_mean_z,watermarked_mean_z,vanilla_median_z,watermarked_median_z,vanilla_std_z,watermarked_std_z,vanilla_p75_z,watermarked_p75_z,vanilla_p90_z,watermarked_p90_z,vanilla_max_z,watermarked_max_z
KGW,kgw,500,500,-0.040252311324583255,7.924411134287758,0.0409272754535029,7.950465149911677,1.2604273399012966,2.477069010269192,0.6957636827095494,9.3241322866451,1.6374956750292697,10.518309791550246,4.461073024431816,23.615037936671175
SWEET,sweet,500,500,0.15954568241598616,8.44483835671505,0.14201447092793046,8.623366137717065,1.0892279713690487,2.1376591048698446,0.843639729908656,9.828037116016908,1.5147125317319168,10.96422796170381,4.81354471943052,14.058212309299263
MorphMark,morphmark,500,500,-0.040252311324583255,4.013905861442132,0.0409272754535029,3.9699457189897815,1.2604273399012966,1.8904916978688715,0.6957636827095494,5.115909431687863,1.6374956750292697,6.261873144385945,4.461073024431816,12.97394631876042
EWD,ewd,500,500,0.14096623424766586,9.026999324917794,0.1256893090903759,9.259697437286377,1.07556471926693,2.1016800629532426,0.8894200474023819,10.490905046463013,1.4582771182060252,11.489190864562989,4.154247760772705,14.710270881652832
DIP,dip,500,500,-0.06798965114727616,1.4933851387873291,-0.0710696280002594,1.5418165922164917,0.4209149599388323,0.4922399211520729,0.22522187232971191,1.8384777307510376,0.4621972888708115,2.063965153694153,1.1313709020614624,2.807142972946167
Unbiased,unbiased,500,500,-0.04550773075222969,1.5425668852254748,-0.05371073633432388,1.5852468013763428,0.4350747355778181,0.4817223821087002,0.3005288988351822,1.8571429252624512,0.5219128668308258,2.1307645320892337,1.0304701328277588,2.6870059967041016
SynthID,synthid,500,500,0.49983887328333526,0.5430844877695222,0.4998281786941581,0.5438496550539604,0.007157324694841727,0.012110323580316109,0.5045895320862179,0.551535246586793,0.5095854022520689,0.5577777777777778,0.5186666666666667,0.576068376068376
DBSF,dbsf,500,500,0.4415213195008541,13.126566148248735,0.4613219332724624,13.606458333672524,0.9564041812061389,3.421724637070538,1.0666879141781216,15.637436904915745,1.608931504676422,17.13517515765752,3.403211278400329,20.108259555785743
