scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,500,500,0,-0.3038,1.2388,-5.9123,3.8189,0.00
vanilla_sweet,sweet,vanilla,0,500,500,0,0.0031,1.0846,-3.9302,4.0202,0.20
vanilla_ewd,ewd,vanilla,0,500,500,0,-0.0462,1.0379,-3.8047,3.6446,0.00
vanilla_dip,dip,vanilla,0,500,500,0,-0.0799,0.4308,-1.4552,1.1772,0.00
vanilla_unbiased,unbiased,vanilla,0,500,500,0,-0.0437,0.4346,-1.3495,1.0553,0.00
vanilla_synthid,synthid,vanilla,0,500,500,0,0.4998,0.0070,0.4795,0.5206,0.20
vanilla_morphmark,morphmark,vanilla,0,500,500,0,-0.3038,1.2388,-5.9123,3.8189,3.00
vanilla_dbsf,dbsf,vanilla,0,500,500,0,-0.0082,1.0393,-2.7958,3.1837,0.00
kgw,kgw,kgw,1,500,500,0,6.0913,2.3327,-1.5492,23.6150,84.40
sweet,sweet,sweet,1,500,500,0,6.3961,2.0299,-0.9610,12.8582,87.60
ewd,ewd,ewd,1,500,500,0,6.8599,1.9536,-0.7736,11.7828,92.40
dip,dip,dip,1,500,500,0,0.7698,0.4584,-0.5571,2.5802,4.20
unbiased,unbiased,unbiased,1,500,500,0,0.7916,0.4417,-0.3858,1.9299,4.60
synthid,synthid,synthid,1,500,500,0,0.5259,0.0109,0.4921,0.5613,70.20
morphmark,morphmark,morphmark,1,500,500,0,2.8936,1.7148,-3.4050,10.8925,69.60
dbsf,dbsf,dbsf,1,500,500,0,9.2273,2.8919,-0.1183,18.3701,95.40
