scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,498,496,2,0.1200,1.0523,-2.7080,4.6775,0.40
vanilla_sweet,sweet,vanilla,0,498,496,2,0.0295,1.0382,-3.0685,3.7559,0.00
vanilla_ewd,ewd,vanilla,0,498,495,2,0.0337,1.0167,-2.9789,3.6180,0.00
vanilla_dip,dip,vanilla,0,498,498,0,-0.0543,0.4318,-1.4620,1.1468,0.00
vanilla_unbiased,unbiased,vanilla,0,498,497,0,-0.0971,0.4146,-1.1944,1.1194,0.00
vanilla_synthid,synthid,vanilla,0,498,492,6,0.4998,0.0139,0.3667,0.5667,3.61
vanilla_morphmark,morphmark,vanilla,0,498,496,2,0.1200,1.0523,-2.7080,4.6775,4.02
vanilla_dbsf,dbsf,vanilla,0,498,496,2,-0.1341,1.0293,-2.9631,4.5029,0.20
kgw,kgw,kgw,1,499,498,1,3.6517,1.6233,-1.6330,9.8271,42.08
sweet,sweet,sweet,1,499,498,1,3.4421,1.5514,-1.9127,10.4704,35.27
ewd,ewd,ewd,1,499,494,4,3.4946,1.5358,-1.2622,7.8401,37.88
dip,dip,dip,1,497,497,0,0.0024,0.4194,-1.1068,0.9383,0.00
unbiased,unbiased,unbiased,1,497,495,0,0.0085,0.4204,-1.4709,1.0206,0.00
synthid,synthid,synthid,1,497,492,5,0.5064,0.0126,0.4417,0.5667,11.87
morphmark,morphmark,morphmark,1,499,496,3,1.7797,1.3234,-3.2844,6.3595,43.29
dbsf,dbsf,dbsf,1,499,499,0,3.7534,1.6999,-1.6466,8.5373,43.49
