scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,498,498,0,0.2899,1.1812,-3.1332,5.3377,0.20
vanilla_sweet,sweet,vanilla,0,498,498,0,0.2048,1.0332,-2.7608,3.6004,0.00
vanilla_ewd,ewd,vanilla,0,498,497,0,0.2026,1.0107,-2.2079,3.5774,0.00
vanilla_dip,dip,vanilla,0,498,498,0,-0.0294,0.4219,-1.3765,1.4557,0.00
vanilla_unbiased,unbiased,vanilla,0,498,498,0,-0.0302,0.4211,-1.2893,1.2098,0.00
vanilla_synthid,synthid,vanilla,0,498,496,2,0.4998,0.0085,0.4667,0.5467,1.41
vanilla_morphmark,morphmark,vanilla,0,498,498,0,0.2899,1.1812,-3.1332,5.3377,7.23
vanilla_dbsf,dbsf,vanilla,0,498,498,0,0.9891,1.1300,-2.2067,4.5592,1.00
kgw,kgw,kgw,1,499,499,0,8.3638,2.5660,-0.8165,14.2364,93.19
sweet,sweet,sweet,1,499,499,0,8.3949,2.5645,-0.9623,14.6986,93.39
ewd,ewd,ewd,1,499,499,0,8.6434,2.7247,-0.5774,13.9351,91.78
dip,dip,dip,1,497,497,0,1.0828,0.5297,-0.9095,2.6317,21.53
unbiased,unbiased,unbiased,1,497,497,0,1.1192,0.5626,-0.7071,2.5000,25.75
synthid,synthid,synthid,1,497,495,2,0.5409,0.0162,0.3333,0.5739,93.36
morphmark,morphmark,morphmark,1,499,499,0,4.3995,2.0176,-3.6520,13.8447,89.78
dbsf,dbsf,dbsf,1,499,499,0,12.2318,3.6759,-2.0852,18.7994,96.79
