scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,500,500,0,-0.0403,1.2604,-5.8526,4.4611,0.20
vanilla_sweet,sweet,vanilla,0,500,500,0,0.1595,1.0892,-3.5443,4.8135,0.20
vanilla_ewd,ewd,vanilla,0,500,500,0,0.1410,1.0756,-3.3254,4.1542,0.40
vanilla_dip,dip,vanilla,0,500,500,0,-0.0680,0.4209,-1.2777,1.1314,0.00
vanilla_unbiased,unbiased,vanilla,0,500,500,0,-0.0455,0.4351,-1.2021,1.0305,0.00
vanilla_synthid,synthid,vanilla,0,500,500,0,0.4998,0.0072,0.4771,0.5187,0.00
vanilla_morphmark,morphmark,vanilla,0,500,500,0,-0.0403,1.2604,-5.8526,4.4611,6.00
vanilla_dbsf,dbsf,vanilla,0,500,500,0,0.4415,0.9564,-2.3658,3.4032,0.00
kgw,kgw,kgw,1,500,500,0,7.9244,2.4771,-1.3950,23.6150,93.60
sweet,sweet,sweet,1,500,500,0,8.4448,2.1377,-1.2472,14.0582,97.00
ewd,ewd,ewd,1,500,500,0,9.0270,2.1017,0.9605,14.7103,97.60
dip,dip,dip,1,500,500,0,1.4934,0.4922,-0.6062,2.8071,52.00
unbiased,unbiased,unbiased,1,500,500,0,1.5426,0.4817,-0.0737,2.6870,57.00
synthid,synthid,synthid,1,500,500,0,0.5431,0.0121,0.5014,0.5761,96.00
morphmark,morphmark,morphmark,1,500,500,0,4.0139,1.8905,-3.5286,12.9739,88.80
dbsf,dbsf,dbsf,1,500,500,0,13.1266,3.4217,1.8338,20.1083,98.40
