method,display_name,samples,mean_ppl,std_ppl,median_ppl,min_ppl,max_ppl,p95_ppl,mean_ce,std_ce,mean_tokens
vanilla,Vanilla,497,6.916220443857236,3.7095202957526143,6.2986202453597215,1.5626839359688662,46.438586187275725,11.571814013840115,1.8468866294298614,0.39661983199066403,226.93762575452718
kgw,KGW,499,8.325914896021828,4.115745191233816,7.835622281477873,1.9098187827810513,40.74277364378571,13.57448861042434,2.0270154915735095,0.42514771964068615,233.98396793587173
dip,DIP,499,8.266774329941201,4.406282172741167,7.381404646934106,1.7858752110673526,49.04866494039694,14.738999876562257,2.0254356053644766,0.3946227067990183,223.69539078156313
ewd,EWD,499,8.619036467929318,5.533057006815133,7.9028074144478015,2.179056100976449,67.78274337624082,13.84102258152274,2.0497567859106884,0.42928281867315415,231.45290581162325
morphmark,MorphMark,499,6.785527285654835,3.8145712046835207,6.274053033283925,1.5424437315680328,58.43549789475024,11.31173097580369,1.824158417019911,0.4050243260607609,231.4629258517034
sweet,SWEET,498,8.410434009558559,5.182442775311208,7.889566179102382,1.5424437315680328,91.07983166421553,13.654989497678391,2.0336505965176355,0.42182427992217314,232.3975903614458
unbiased,Unbiased,498,8.703289176402787,8.086357800959668,7.476980645802051,1.9314216769908112,142.98012179669433,14.610114259452939,2.0365969074299057,0.42988311684197733,226.1546184738956
synthid,SynthID,498,7.054436473460893,3.2907495263083595,6.46819451357522,2.05188511868851,40.53541733492286,10.758003665559356,1.8819486991947434,0.3617068216742536,230.90361445783134
dbsf,DBSF,499,6.8105098166124005,3.7551711987866003,6.436450474309909,1.8155289110285806,48.32108158096214,11.97674280999763,1.8068417967679744,0.46472135004954207,237.80360721442887
