scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,500,498,2,-0.3646,1.3897,-8.1135,4.3072,0.40
vanilla_sweet,sweet,vanilla,0,500,498,2,-0.2100,1.1579,-3.4871,3.2671,0.00
vanilla_ewd,ewd,vanilla,0,500,497,2,-0.2286,1.1697,-3.1757,3.3484,0.00
vanilla_dip,dip,vanilla,0,500,500,0,-0.0747,0.4425,-1.5435,1.0957,0.00
vanilla_unbiased,unbiased,vanilla,0,500,499,0,-0.0884,0.4179,-1.5000,1.0786,0.00
vanilla_synthid,synthid,vanilla,0,500,493,7,0.5005,0.0085,0.4644,0.5667,1.20
vanilla_morphmark,morphmark,vanilla,0,500,498,2,-0.3646,1.3897,-8.1135,4.3072,4.20
vanilla_dbsf,dbsf,vanilla,0,500,498,2,1.0064,1.0436,-1.8959,5.1954,0.40
kgw,kgw,kgw,1,500,497,3,10.9809,3.8519,-1.8699,28.6144,93.20
sweet,sweet,sweet,1,500,498,2,11.2124,3.4228,-0.5774,17.0631,94.40
ewd,ewd,ewd,1,500,498,2,11.7518,3.3951,-0.8149,17.6246,96.00
dip,dip,dip,1,500,500,0,1.9828,0.7824,-0.7500,3.4380,77.40
unbiased,unbiased,unbiased,1,500,498,0,1.9599,0.8139,-0.9167,3.4206,75.20
synthid,synthid,synthid,1,500,494,6,0.5570,0.0146,0.4722,0.6667,97.40
morphmark,morphmark,morphmark,1,500,498,2,5.5102,2.8207,-2.7713,20.4675,90.80
dbsf,dbsf,dbsf,1,500,499,1,15.7829,5.0323,0.4534,25.3689,97.80
