scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,500,499,1,-0.1160,1.1808,-3.5208,3.6566,0.00
vanilla_sweet,sweet,vanilla,0,500,499,1,-0.1261,1.0371,-2.6111,3.4235,0.00
vanilla_ewd,ewd,vanilla,0,500,499,1,-0.1361,1.0024,-2.6595,2.9103,0.00
vanilla_dip,dip,vanilla,0,500,500,0,-0.0720,0.2961,-0.9815,0.8185,0.00
vanilla_unbiased,unbiased,vanilla,0,500,499,0,-0.0844,0.3070,-0.9334,0.6364,0.00
vanilla_morphmark,morphmark,vanilla,0,500,499,1,-0.1160,1.1808,-3.5208,3.6566,4.00
vanilla_dbsf,dbsf,vanilla,0,500,499,1,0.4892,0.9744,-2.2414,3.2848,0.00
kgw,kgw,kgw,1,500,499,1,9.2417,3.3933,-0.7127,23.2529,93.80
sweet,sweet,sweet,1,500,499,1,9.2227,3.2121,-0.5774,16.6503,91.40
ewd,ewd,ewd,1,500,498,2,9.6892,3.3537,-2.1773,17.5653,92.20
dip,dip,dip,1,500,500,0,0.7259,0.3090,-0.4907,1.3323,0.00
unbiased,unbiased,unbiased,1,500,496,0,0.6955,0.3447,-0.5970,1.2021,0.00
morphmark,morphmark,morphmark,1,500,498,2,1.9706,1.6965,-3.7571,10.1843,46.60
dbsf,dbsf,dbsf,1,500,498,2,14.6262,4.2004,-0.3062,23.5052,97.40
