scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,500,498,2,-0.1851,1.2015,-5.3153,6.0746,0.40
vanilla_sweet,sweet,vanilla,0,500,498,2,-0.1064,1.1269,-3.2746,2.9823,0.00
vanilla_ewd,ewd,vanilla,0,500,498,2,-0.1238,1.1310,-3.2594,3.3221,0.00
vanilla_dip,dip,vanilla,0,500,500,0,-0.0320,0.4222,-1.7818,1.2330,0.00
vanilla_unbiased,unbiased,vanilla,0,500,498,0,-0.0717,0.4211,-1.2410,1.2493,0.00
vanilla_synthid,synthid,vanilla,0,500,496,4,0.5011,0.0101,0.4700,0.5810,2.00
vanilla_morphmark,morphmark,vanilla,0,500,498,2,-0.1851,1.2015,-5.3153,6.0746,3.80
vanilla_dbsf,dbsf,vanilla,0,500,498,2,0.8477,1.0405,-2.6092,4.3932,0.20
kgw,kgw,kgw,1,500,498,2,7.9078,2.2764,-0.6547,18.1153,93.40
sweet,sweet,sweet,1,500,498,2,8.4412,2.2943,0.0000,13.2665,94.20
ewd,ewd,ewd,1,500,499,1,8.8774,2.2652,-0.5722,13.7218,95.80
dip,dip,dip,1,500,500,0,1.5016,0.5599,-0.9167,2.5720,59.80
unbiased,unbiased,unbiased,1,500,497,0,1.5382,0.5212,-0.7627,2.4660,58.20
synthid,synthid,synthid,1,500,494,6,0.5586,0.0155,0.4960,0.6208,97.00
morphmark,morphmark,morphmark,1,500,499,1,3.8323,1.8468,-2.6960,11.4935,85.40
dbsf,dbsf,dbsf,1,500,499,1,13.0195,3.1695,0.0328,19.5019,97.60
