scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,500,500,0,-0.3162,1.2661,-5.6889,3.8100,0.00
vanilla_sweet,sweet,vanilla,0,500,500,0,-0.0878,1.0926,-3.7108,4.1457,0.20
vanilla_ewd,ewd,vanilla,0,500,500,0,-0.1150,1.0781,-3.6760,3.9678,0.00
vanilla_dip,dip,vanilla,0,500,500,0,-0.0472,0.4302,-1.5093,0.9794,0.00
vanilla_unbiased,unbiased,vanilla,0,500,500,0,-0.0220,0.4479,-1.4000,1.2564,0.00
vanilla_synthid,synthid,vanilla,0,500,500,0,0.4996,0.0072,0.4797,0.5209,0.20
vanilla_morphmark,morphmark,vanilla,0,500,500,0,-0.3162,1.2661,-5.6889,3.8100,3.20
vanilla_dbsf,dbsf,vanilla,0,500,500,0,0.1848,1.0297,-3.1125,3.6101,0.00
kgw,kgw,kgw,1,500,500,0,6.5287,2.4888,-1.5159,23.6150,87.20
sweet,sweet,sweet,1,500,500,0,6.9277,2.1382,-0.4714,12.3391,90.40
ewd,ewd,ewd,1,500,500,0,7.3717,2.1141,-0.3702,13.4663,92.80
dip,dip,dip,1,500,500,0,0.9923,0.4868,-0.5105,2.3690,12.20
unbiased,unbiased,unbiased,1,500,500,0,1.0482,0.4859,-0.2594,2.4885,18.60
synthid,synthid,synthid,1,500,500,0,0.5311,0.0112,0.4899,0.5601,86.00
morphmark,morphmark,morphmark,1,500,500,0,3.1490,1.8465,-3.2733,12.4448,74.60
dbsf,dbsf,dbsf,1,500,500,0,10.6986,3.1044,1.1475,18.0213,97.00
