scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,498,498,0,-0.0034,1.1798,-2.9531,6.3620,0.20
vanilla_sweet,sweet,vanilla,0,498,498,0,0.5098,1.0168,-2.3150,3.8333,0.00
vanilla_ewd,ewd,vanilla,0,498,497,0,0.4549,0.9799,-1.9892,3.8823,0.00
vanilla_dip,dip,vanilla,0,498,498,0,-0.0475,0.4460,-1.7691,1.0745,0.00
vanilla_unbiased,unbiased,vanilla,0,498,498,0,-0.0846,0.4438,-1.8864,1.4215,0.00
vanilla_synthid,synthid,vanilla,0,498,497,1,0.5002,0.0091,0.4000,0.5533,0.80
vanilla_morphmark,morphmark,vanilla,0,498,498,0,-0.0034,1.1798,-2.9531,6.3620,4.22
vanilla_dbsf,dbsf,vanilla,0,498,498,0,0.0863,1.0269,-2.8696,3.3908,0.00
kgw,kgw,kgw,1,499,499,0,2.6498,1.4675,-1.1711,17.1873,13.03
sweet,sweet,sweet,1,499,499,0,2.9825,1.4600,-1.6025,8.3560,21.84
ewd,ewd,ewd,1,499,499,0,2.9622,1.4405,-1.9454,8.0555,21.44
dip,dip,dip,1,497,497,0,0.0093,0.4320,-1.5364,1.1963,0.00
unbiased,unbiased,unbiased,1,497,497,0,0.0504,0.4610,-1.2500,1.5894,0.20
synthid,synthid,synthid,1,497,496,1,0.5034,0.0076,0.4556,0.5338,2.01
morphmark,morphmark,morphmark,1,499,499,0,1.3203,1.3702,-2.4163,8.5012,27.25
dbsf,dbsf,dbsf,1,499,499,0,3.3454,1.5545,-1.8690,8.5550,34.47
